cell_id,split,classes,cap,n_seeds,own_macro_f1_mean,own_macro_f1_std,own_defect_f1_mean,own_defect_f1_std,gold_defect_f1_mean,gold_defect_f1_std,gold_full_macro_f1_mean,gold_full_macro_f1_std
A1-B1-C1,A1,B1,C1,3,0.44007594735529487,0.002239108734859318,0.5500194695935617,0.003273509068573347,0.7753552286009162,0.0041815795929967025,0.6585344633399847,0.005463128987777931
A1-B1-C2,A1,B1,C2,3,0.5460072442059657,0.0057182806900509114,0.5721887910158588,0.005499445862291112,0.7691525016284895,0.001337071544499744,0.5988011125394076,0.01078272358017935
A1-B1-C3,A1,B1,C3,3,0.44265604044114765,0.029008141652632557,0.48372792809092807,0.027636137676719904,0.5848348256274353,0.01630785256468099,0.41238013853258454,0.020980583994773774
A1-B2-C1,A1,B2,C1,3,0.5748853878535537,0.007718043521012857,0.5748853878535537,0.007718043521012857,0.772995414693837,0.0016271591595027296,,
A1-B2-C2,A1,B2,C2,3,0.5806296723034969,0.007381719056301515,0.5806296723034969,0.007381719056301515,0.7716941169026215,0.006332953089710799,,
A1-B2-C3,A1,B2,C3,3,0.48057352268561054,0.010453887906723197,0.48057352268561054,0.010453887906723197,0.5812894459708134,0.0038684042568025183,,
A2-B1-C1,A2,B1,C1,3,0.8431497185381192,0.0038650917887354578,0.8364383302651509,0.004628353301010381,0.826991655719349,0.004091688427717074,0.8346530326089386,0.0033047160868875914
A2-B1-C2,A2,B1,C2,3,0.8305922870719639,0.004918890657176863,0.8313189877989778,0.005994724844306945,0.8306974111343252,0.0009996200517389266,0.7395509500927115,0.0021064979389695086
A2-B1-C3,A2,B1,C3,3,0.6698647730642532,0.01740782797335192,0.6955518144649018,0.01293141378073482,0.6000491240378986,0.004863649528675183,0.47691151574156176,0.005301734837266022
A2-B2-C1,A2,B2,C1,3,0.845160229037865,0.007052679706401765,0.845160229037865,0.007052679706401765,0.828730220798053,0.004120414787334667,,
A2-B2-C2,A2,B2,C2,3,0.8268050054187975,0.0028978358697263683,0.8268050054187975,0.0028978358697263683,0.8232932634664429,0.007615721443740252,,
A2-B2-C3,A2,B2,C3,3,0.7190846146097996,0.0092001746686566,0.7190846146097996,0.0092001746686566,0.6104649120040962,0.006838623077901669,,
A3-B1-C1,A3,B1,C1,3,0.8361930851556698,0.004269860264714627,0.8285305311619567,0.006007586026156193,0.8300285058866561,0.006326604853345594,0.8385453575602434,0.0045854183107655435
A3-B1-C2,A3,B1,C2,3,0.8346845594455597,0.006795258739400217,0.8364117651953679,0.006178110894945156,0.828672375010432,0.0029476076609688726,0.7381424873654158,0.0038349888489030834
A3-B1-C3,A3,B1,C3,3,0.6503372186737102,0.020711802221364612,0.6641691282519258,0.020207330460520652,0.6049512311218957,0.005537234554520236,0.47724403085538425,0.010934740143077548
A3-B2-C1,A3,B2,C1,3,0.8234843295133877,0.003105411594911415,0.8234843295133877,0.003105411594911415,0.8294156481661169,0.00792659051518098,,
A3-B2-C2,A3,B2,C2,3,0.8293371546636759,0.005421417967053006,0.8293371546636759,0.005421417967053006,0.8266749708523125,0.0030692950193138575,,
A3-B2-C3,A3,B2,C3,3,0.7228319384337207,0.03834957864369909,0.7228319384337207,0.03834957864369909,0.6163708840337244,0.006264880343068181,,
A4-B1-C1,A4,B1,C1,3,0.5713978943946659,0.026048082338575206,0.5581038607031512,0.03241423522637757,0.825562501087247,0.0030832068804801374,0.8304298602076075,0.0015610245526187577
